case_id,scenario,length,run,algorithm,build_time_ms,query_time_ms,total_time_ms,peak_memory_kib,build_peak_memory_kib,query_peak_memory_kib,query_extra_memory_kib,index_size_kib,lcs_length
random_uniform_n100_c1,random_uniform,100,75,Enhanced Suffix Array,0.4514,0.0669,0.5183,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,76,Suffix Automaton,0.2036,0.0527,0.2563,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,76,Enhanced Suffix Array,0.3919,0.0622,0.4541,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,77,Suffix Automaton,0.2062,0.0545,0.2607,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,77,Enhanced Suffix Array,0.4309,0.0704,0.5013,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,78,Suffix Automaton,0.2123,0.056,0.2683,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,78,Enhanced Suffix Array,0.4472,0.0664,0.5136,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,79,Suffix Automaton,0.2912,0.0636,0.3548,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,79,Enhanced Suffix Array,0.7545,0.0858,0.8402999999999999,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,80,Suffix Automaton,0.3611,0.091,0.45209999999999995,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,80,Enhanced Suffix Array,0.7987,0.1333,0.9319999999999999,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,81,Suffix Automaton,0.2635,0.0954,0.3589,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
random_uniform_n100_c1,random_uniform,100,81,Enhanced Suffix Array,0.8101,0.3238,1.1339000000000001,5.556640625,5.556640625,5.189453125,1.5859375,9.037109375,3
random_uniform_n100_c1,random_uniform,100,82,Suffix Automaton,0.2108,0.0542,0.265,14.0263671875,13.1796875,14.0263671875,1.1669921875,31.537109375,3
